protocol,N,bootstrap_runs,valid_plans_median,valid_plans_min,mae_mean,mae_median,mae_p25,mae_p75,mae_iqr,ks_mean,ks_median,ks_p25,ks_p75,ks_iqr,wasserstein_mean,wasserstein_median,wasserstein_p25,wasserstein_p75,wasserstein_iqr,bottom_decile_agreement_mean,bottom_decile_agreement_median,bottom_decile_agreement_p25,bottom_decile_agreement_p75,bottom_decile_agreement_iqr
H&N Def Other,10,50,30.0,30,0.1128007096106581,0.1040883390762508,0.0748540535590187,0.148378524745318,0.0735244711862993,0.3513333333333334,0.35,0.2666666666666666,0.4666666666666667,0.2,0.101420876458155,0.0981316534499995,0.0594688502985496,0.1420649693034404,0.0825961190048907,0.9433333333333332,0.9333333333333332,0.9333333333333332,0.9833333333333334,0.05
H&N Def Other,20,50,30.0,30,0.0846630275382439,0.0858866363938661,0.0598736338303076,0.1061893742519239,0.0463157404216162,0.2973333333333333,0.3,0.2333333333333333,0.3666666666666666,0.1333333333333333,0.0740031906955366,0.0721476101268246,0.0487838957915336,0.1009854848044346,0.0522015890129009,0.96,0.9333333333333332,0.9333333333333332,1.0,0.0666666666666666
H&N Def Other,30,50,30.0,30,0.0678971901191421,0.0647116174986267,0.0470961407675409,0.0818973487536523,0.0348012079861114,0.2493333333333333,0.2333333333333334,0.175,0.3,0.125,0.0591031487314009,0.0546672052365321,0.035710789714156,0.0746991086897233,0.0389883189755672,0.964,0.9333333333333332,0.9333333333333332,1.0,0.0666666666666666
H&N Def Other,50,50,30.0,30,0.0491462632692751,0.0437856103645272,0.0364393798750691,0.0631593513199359,0.0267199714448668,0.2073333333333333,0.2,0.1666666666666666,0.2583333333333333,0.0916666666666666,0.0405951395125241,0.0369522232473478,0.0265957839181997,0.0525949311595154,0.0259991472413156,0.9693333333333334,1.0,0.9333333333333332,1.0,0.0666666666666666
H&N Def Other,75,50,30.0,30,0.0422593677084387,0.0423753622565599,0.032686762187126,0.0501679249722159,0.0174811627850899,0.1859999999999999,0.1833333333333333,0.1333333333333333,0.2249999999999999,0.0916666666666666,0.033310563172593,0.0292703708857682,0.0229317571892354,0.0408450841508155,0.01791332696158,0.9693333333333334,1.0,0.9333333333333332,1.0,0.0666666666666666
H&N Def Other,100,50,30.0,30,0.0339971229848782,0.0318189364200086,0.0267824646587842,0.041901437954406,0.0151189732956217,0.1693333333333333,0.1666666666666666,0.1333333333333333,0.2,0.0666666666666666,0.0285258455046892,0.0260555967972254,0.0206516702615225,0.0359821242264002,0.0153304539648777,0.984,1.0,1.0,1.0,0.0
H&N Postop LxHypo,10,50,15.0,15,0.1111314832396007,0.1120808696505437,0.0890011365143421,0.1280313063453698,0.0390301698310277,0.352,0.3333333333333333,0.2666666666666667,0.4,0.1333333333333333,0.1049052943655585,0.102144781981466,0.0796137479360655,0.1277141493910521,0.0481004014549865,0.8693333333333334,0.8333333333333334,0.8,0.9333333333333332,0.1333333333333333
H&N Postop OC,10,50,20.0,20,0.0661676291596312,0.0600335516832336,0.0489267253268999,0.0765217448041325,0.0275950194772326,0.2599999999999999,0.25,0.2,0.3,0.1,0.0583463706328959,0.0492970870898347,0.0363704376950133,0.0750000018682699,0.0386295641732565,0.928,0.9,0.9,1.0,0.0999999999999999
H&N Postop OC,20,50,20.0,20,0.0432069985335215,0.0413449410631594,0.0280512347101957,0.0530675585198944,0.0250163238096987,0.218,0.2,0.15,0.25,0.1,0.0390607857379553,0.0352692868871972,0.0221290126022682,0.051008893134388,0.0288798805321197,0.966,1.0,0.9,1.0,0.0999999999999999
H&N Postop OC,30,50,20.0,20,0.0322431926439663,0.0297397977735156,0.0215678377447164,0.0375070935781801,0.0159392558334637,0.1969999999999999,0.1999999999999999,0.15,0.2499999999999999,0.0999999999999999,0.0283469491461644,0.02175587205266,0.0174724841185407,0.0339454698027001,0.0164729856841593,0.982,1.0,1.0,1.0,0.0
H&N Postop OC,50,50,20.0,20,0.0273875036555789,0.0221911417892129,0.0185174240673892,0.0310277687396413,0.0125103446722521,0.193,0.1999999999999999,0.1499999999999999,0.2499999999999999,0.1,0.0256698746141022,0.0206114801451075,0.0157043075976843,0.0298150490758961,0.0141107414782117,0.99,1.0,1.0,1.0,0.0
H&N Postop Other,10,50,22.0,22,0.0755589140726682,0.0625612849548151,0.0518754170173263,0.0947082541936521,0.0428328371763258,0.2509090909090909,0.2272727272727273,0.1818181818181818,0.3181818181818182,0.1363636363636364,0.0657990077326172,0.0557578782646307,0.0385333308329129,0.088496715727079,0.049963384894166,0.9072727272727272,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.0
H&N Postop Other,20,50,22.0,22,0.0477003499900689,0.0430607959320747,0.0319274820809889,0.0618347240005707,0.0299072419195818,0.1945454545454546,0.1818181818181818,0.1363636363636364,0.2727272727272727,0.1363636363636363,0.0432426902519223,0.036558093798552,0.0249007909064705,0.0588969736310517,0.0339961827245811,0.9072727272727272,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.0
H&N Postop Other,30,50,22.0,22,0.0353047847724673,0.0314684517216229,0.0249924917095737,0.0420644655678173,0.0170719738582436,0.1727272727272727,0.1818181818181818,0.1363636363636364,0.1818181818181818,0.0454545454545454,0.0314155153310388,0.0254117152819615,0.0192020207740096,0.0392045342762942,0.0200025135022846,0.9236363636363636,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.0
H&N Postop Other,50,50,22.0,22,0.0273747666964687,0.0237705849578279,0.018993260021798,0.0324257044928586,0.0134324444710605,0.1672727272727273,0.1363636363636364,0.1363636363636363,0.1818181818181818,0.0454545454545454,0.0254266542742983,0.0212177621493497,0.016438689654892,0.029157476868184,0.012718787213292,0.9345454545454543,0.9090909090909092,0.9090909090909092,1.0,0.0909090909090909
H&N Postop Other,75,50,22.0,22,0.0232687356682146,0.0199297726137013,0.016448775726508,0.0280700326446856,0.0116212569181776,0.1481818181818182,0.1363636363636364,0.0909090909090909,0.1818181818181818,0.0909090909090908,0.0214285972012779,0.0173132177149891,0.0140893346524858,0.0265989142878392,0.0125095796353533,0.9363636363636364,0.9090909090909092,0.9090909090909092,1.0,0.0909090909090909
Intact Vulva with LNs Boost,10,50,15.0,15,0.1357368813375337,0.1214550868955795,0.1008516642792313,0.1663851121734133,0.065533447894182,0.3146666666666666,0.2666666666666667,0.2,0.3333333333333333,0.1333333333333333,0.1036761115618937,0.0922222584286695,0.05984169856897,0.1315390484315876,0.0716973498626176,0.9413333333333334,1.0,0.9333333333333332,1.0,0.0666666666666666
Lung 45Gy in30fx,10,50,44.0,43,0.1358812107760071,0.1254010949980075,0.0991475491927992,0.1520197377532383,0.052872188560439,0.2924735729386892,0.2790697674418604,0.2137949260042283,0.3370771670190275,0.1232822410147991,0.1180759131089679,0.0990959554803345,0.0766952173041366,0.1385598693133646,0.0618646520092279,0.9295454545454545,0.9545454545454546,0.8863636363636364,0.994318181818182,0.1079545454545455
Lung 45Gy in30fx,20,50,44.0,44,0.0942022084144772,0.0858363031650022,0.0739012933667398,0.1094259685006077,0.0355246751338679,0.2177272727272727,0.2045454545454545,0.1590909090909091,0.25,0.0909090909090908,0.0806822515205715,0.0735476858761592,0.055286903276826,0.1046353542196545,0.0493484509428284,0.9754545454545456,0.9772727272727272,0.9772727272727272,1.0,0.0227272727272727
Lung 45Gy in30fx,30,50,44.0,43,0.0838638455869106,0.0772244304331777,0.0621545464652239,0.1044658220025671,0.0423112755373431,0.1841754756871035,0.1704545454545454,0.1363636363636364,0.2272727272727273,0.0909090909090908,0.0704531016799528,0.0636031164375933,0.0450796241967058,0.085190857894102,0.0401112336973962,0.9804439746300212,1.0,0.9772727272727272,1.0,0.0227272727272727
Lung 45Gy in30fx,50,50,44.0,44,0.0630729044447765,0.0607104322445231,0.0498172189148282,0.0754951920281766,0.0256779731133484,0.1518181818181818,0.159090909090909,0.1363636363636363,0.1761363636363636,0.0397727272727272,0.0484553675075504,0.0479913604885272,0.031925309836068,0.0595621895257401,0.027636879689672,0.9945454545454546,1.0,1.0,1.0,0.0
